id,eblocal_id,dawa_id,change,geo_change,name,type,zip,population,longitude,latitude,municipality_id,municipality_name,created_at,updated_at
75,10445,12337669-e31c-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Kædebybro,by,5932,7,10.68163971,54.85073836,482,Langeland,2022-04-03 17:46:43,2022-04-06 09:55:59
76,10109,12337669-de91-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Ellemose,by,3210,3,12.15508423,56.06174236,270,Gribskov,2022-04-03 17:46:43,2022-04-06 09:52:32
77,10614,12337669-b7bb-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Skinderholm,by,7400,1,9.01607203,56.18209694,657,Herning,2022-04-03 17:46:43,2022-04-06 09:57:59
78,10861,12337669-cc60-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Mosehuse,by,9400,2,9.95976761,57.10984516,851,Aalborg,2022-04-03 17:46:43,2022-04-06 08:55:38
79,10774,12337669-b5eb-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Ørskov,by,8751,47,9.90422141,55.93334889,615,Horsens,2022-04-03 17:46:43,2022-04-06 09:57:33
80,10345,12337669-e336-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Rågø,by,4913,0,11.30780506,54.96808075,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:13
81,10765,12337669-b5ea-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Ødekirke Huse,by,8700,5,9.81203997,55.93550719,615,Horsens,2022-04-03 17:46:43,2022-04-06 09:57:33
82,10774,12337669-b5e9-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Tolstrup,by,8751,8,9.86858944,55.92872375,615,Horsens,2022-04-03 17:46:43,2022-04-06 09:57:33
83,10774,12337669-b5e3-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2021-02-02T23:55:38.159Z,Gedved,by,8751,2311,9.84628682,55.92899907,615,Horsens,2022-04-03 17:46:43,2022-04-06 09:57:33
84,10581,12337669-b69c-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Lindbjerg,by,7160,2,9.39006918,55.91306233,630,Vejle,2022-04-03 17:46:43,2022-04-06 09:57:52
85,10743,12337669-b599-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Skellerup Nygårde,by,8600,12,9.65670657,56.1673789,740,Silkeborg,2022-04-03 17:46:43,2022-04-06 09:58:51
